mtfcov	mtmcov	mtfmd	mtmmd	mtfgi	mtmgi	sex
95.9689	92.292	3589.78	1449.07	0.6203103395044736	0.8778501827038909	Male
98.519	80.9524	2980.09	1555.29	0.6291476813854668	0.8825522960251397	Male
97.7784	85.7744	2782.13	2128.21	0.6373876220812396	0.8807637338690011	Male
96.5781	33.8203	7141.78	17.5798	0.5593112697084277	0.9425336820920772	Female
99.6656	33.664	9342.07	24.1932	0.5025652467241977	0.9457762694915416	Female
97.8262	87.6443	8945.14	110.216	0.5444033954370955	0.8419144289263059	Female
97.8501	9.57792	5983.13	1.56325	0.5945672621002613	0.964858238983239	Female
97.014	88.2395	9144.01	103.457	0.5656216280551283	0.7751568974524812	Female
98.292	92.7068	1983.43	1428.08	0.646070943368156	0.870916301824771	Male
96.9245	88.3538	1541.28	1658.32	0.6804222479320268	0.8807119122271259	Male
